Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
00601,17113,41.9,14361,7493,10552,61.66072576
00602,37751,42.9,16807,9694,18653,49.41061164
00603,47081,42.1,16049,11259,23691,50.31966186
00606,6392,44.3,12119,6093,4185,65.47246558
00610,26686,42.7,19898,10572,12204,45.73184441
00612,59369,42.6,18741,10966,27631,46.54112416
00616,10022,44.6,17007,9908,4825,48.14408302
00617,23750,40.7,16984,9795,11392,47.96631579
00622,6741,52,14615,11215,3255,48.28660436
00623,41746,42.6,17130,9691,21413,51.29353711
00624,21936,38.9,16701,9488,12337,56.24088257
00627,31598,42.2,17000,10709,15741,49.81644408
00631,1499,48.9,10244,7906,1054,70.31354236
00637,22383,42.2,17405,9864,10251,45.79815038
00638,16412,42.5,16843,9260,8927,54.39312698
00641,26712,43.9,15792,8833,13881,51.96540881
00646,37095,41,30573,16763,12268,33.07184257
00647,5809,44.7,14223,7468,3551,61.12928215
00650,14534,39.5,19764,8998,7562,52.02972341
00652,3565,43.1,21987,11312,1452,40.72931276
00653,10484,41.9,12072,7196,6766,64.53643647
00656,18485,41.3,17355,9115,10110,54.69299432
00659,39950,42.1,17715,11144,18072,45.23654568
00660,15943,47.2,19030,12479,6937,43.51125886
00662,39700,41.7,16834,9014,21975,55.35264484
00664,14693,38.6,14595,7270,8848,60.21915198
00667,23186,45.8,14013,7467,14494,62.51186061
00669,24803,42.9,16922,9196,13510,54.46921743
00670,8364,42.1,14245,7711,4167,49.82065997
00674,38971,42.2,18299,11002,18333,47.04267276
00676,36299,39.9,14992,10331,19599,53.99322295
00677,14093,46,19943,12517,5851,41.51706521
00678,25624,41.2,17144,10318,12588,49.12581954
00680,45190,43.6,14217,10477,23342,51.65302058
00682,31735,37.8,14706,11719,17392,54.80384434
00683,29487,44.5,16332,10534,14770,50.08987011
00685,37058,44.6,15185,9494,19904,53.71039991
00687,30962,38.7,20941,9728,13879,44.82591564
00688,12139,42,17874,9152,6110,50.33363539
00690,5722,41.8,18288,11611,2934,51.2757777
00692,35135,39.5,20585,12078,15357,43.70855273
00693,53360,41.4,19576,11009,24294,45.52848576
00694,64,73.8,-666666666,7588,19,29.6875
00698,35317,43.8,14794,8413,17183,48.6536229
00703,26097,41.9,18846,10735,12397,47.50354447
00704,8108,32.6,17275,8501,4406,54.34139122
00705,22662,42.4,20214,11321,10010,44.17085871
00707,10721,44.4,20760,9245,4885,45.5647794
00714,17739,40.4,17615,8636,10471,59.02813011
00715,2818,43.9,12188,7154,1906,67.63662172
00716,27513,44.6,17969,14182,13360,48.55886308
00717,16086,40.6,12121,10647,8897,55.30896432
00718,25430,37.9,19372,9353,11989,47.14510421
00719,28556,41.3,18922,9119,13157,46.07438017
00720,20758,40,15295,8339,11552,55.65083341
00723,16984,45,16063,9682,9141,53.82124352
00725,80537,41.9,21350,13585,33738,41.89130462
00727,52743,40.8,31688,17636,16492,31.26860436
00728,39083,39.5,19340,10157,18076,46.25028785
00729,51015,40.1,21469,12656,21080,41.32118005
00730,30175,40.6,15723,11042,16095,53.33885667
00731,12657,40.5,15473,10534,6803,53.74891364
00735,12159,42.6,18395,10956,5094,41.89489267
00736,46085,43.7,21894,12761,19344,41.97461213
00738,29196,42.3,19859,13251,12248,41.95095219
00739,36734,40.1,20065,10918,16176,44.03549845
00740,1915,32.5,12944,6668,1287,67.20626632
00741,4074,43,22121,11422,1787,43.86352479
00745,50435,41.1,22960,11517,19433,38.53078219
00751,20677,43.1,18087,9869,10007,48.39676936
00754,36893,42.2,19403,11271,16064,43.54213536
00757,21757,38.8,19827,11596,9867,45.35092154
00765,8523,47.2,14880,10440,3923,46.02839376
00766,22687,40.2,19682,10854,10816,47.67487989
00767,33499,42.9,16295,9929,17766,53.03441894
00769,38812,41.6,19700,11054,17855,46.00381325
00771,36906,39.7,21175,11340,15647,42.39690023
